Campaign,Bid Strategy Type,Target CPA,Standard conversion goals,Custom conversion goal,Campaign Status
FertiRank - Ads - EggCelle — North Carolina,Maximize conversions,37.00,Submit lead form(Website),,Enabled
FertiRank - Ads - EggCelle — Michigan,Maximize conversions,35.00,Submit lead form(Website),,Enabled
FertiRank - Ads - EggCelle — Ohio,Maximize conversions,28.00,Submit lead form(Website),,Enabled
OTTO - Ads - RMA Max Conversion,Maximize conversions,18.00,Submit lead form(Website),,Enabled
